Stock Name,Symbol,Industry_O,Industry,Market Cap(Rs. Cr.),Exchange,Last Price,LTPP,LTP,Volume,Chng%,Chg%,Change,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio  (TTM),Price Earning Ratio(TTM),PEG Ratio,Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),52w_high_csv,52w_high,52w_low_csv,52w_low,EPS,,Symbol with Comma for External Upload,EPS_csv,EPS
Sacheta Metals Ltd.,SACHEMT,Aluminium & Aluminium Products,Aluminium & Aluminium Products,76.13,BSE,0,5.79,5.79,0,-4.93,-4.93,0,1,2024-09,21.66,97.78,2024-09,75.24,2.1,2024-09,36.25,36.25,-30.72,1.49,1,2024-03,0.34,4.47,5.87,0,0,0,0,0,,"ADANIGREEN,",TRUE,
Sudal Industries Ltd.,SUDAI,Aluminium & Aluminium Products,Aluminium & Aluminium Products,49.01,BSE,0,58.5,58.5,0,,,0,1,2024-09,23.11,69.95,2024-09,138.21,3.39,2024-09,14.44,14.44,1.32,2.26,1,2024-03,1.15,0,0,0,0,0,0,0,,"ADANIPORTS,",TRUE,
Adani Power Ltd.,ADANIPOWER,Power Generation/Distribution,Power Generation/Distribution,201216.5,NSE,151.75,526,151.75,12227533,0.8,-1.54,-2.37,2,2024-09,37427.3,232522.2,2024-09,54649.64,12685.51,2024-09,15.82,24.88,0.18,3.6,2,2024-03,0.8,57.05,32.3,0,182.7,0,92.4,6.09,,"SSDL,",1,
Adani Total Gas Ltd.,ATGL,Gas Transmission/Marketing,Gas Transmission/Marketing,80781.05,NSE,550.45,739.7,550.45,0,0.71,-3.49,-0.68,2,2024-09,1373.5,81937.83,2024-09,5059.8,684.68,2024-09,115.07,115.07,5.22,20.66,2,2024-03,0.41,20.47,21.52,0,798,0,462.8,-0.55,,"MRPL,",1,
Nicco Parks & Resorts Ltd.,NICCOPAR,Amusement Parks/Recreation/Club,Amusement Parks/Recreation/Club,626.42,BSE,0,133.2,133.2,0,-0.49,-0.49,0,2,2024-09,,597.65,2024-09,74.4,17.92,2024-09,26.81,26.81,1.25,6.05,2,2024-03,0,29.35,40.06,0,0,0,0,0,,"AWL,",TRUE,
Adani Wilmar Ltd.,AWL,Edible Oil,Edible Oil,42941.38,NSE,176.52,327.6,176.52,1758089,-0.89,-0.43,-0.77,2,2024-09,1941.82,42061.69,2024-09,54695.43,954.14,2024-09,43.73,24.26,,4.8,2,2024-03,0.29,2.07,9.58,0,291.2,0,171.19,7.28,,"530733,",1,
Addictive Learning Technology Ltd.,LAWSIKHO,Educational Institutions,Educational Institutions,562.89,NSE,0,354.5,354.5,0,0.2,0.2,0,1,2024-09,,562.89,2024-03,63.96,6.53,2024-03,86.17,86.17,,8.32,2,2024-03,0,20.51,30.17,0,0,0,0,0,,,1,
ADF Foods Ltd.,ADFFOODS,Consumer Food,Consumer Food,3211.86,NSE,179.01,295.25,179.01,29854,1.03,-3.36,-6.23,2,2024-09,,3149.98,2024-09,566.31,78.18,2024-09,40.17,24.44,1.65,6.94,2,2024-03,0,17.17,23.34,0,300.85,0,168.2,7.32,,"DCXINDIA,",1,
Prima Industries Ltd.,PRIMAIN,Animal Feed,Animal Feed,32.43,BSE,0,30.05,30.05,0,0,0,0,2,2024-09,3.18,35.61,2024-09,6.49,-0.57,2024-09,0,0,0,4.6,2,2024-03,0.14,5.15,5.47,0,0,0,0,0,,"541865,",TRUE,
Waterbase Ltd.,WATERBASE,Animal Feed,Animal Feed,314.84,BSE,0,78.25,78.25,0,2.96,2.96,0,2,2024-09,9.43,317.72,2024-09,275.8,-17.75,2024-09,0,0,,1.92,2,2024-03,0.15,-5.88,-4.89,0,0,0,0,0,,"507852,",TRUE,
Aditya Birla Capital Ltd.,ABCAPITAL,Finance - NBFC,Finance - NBFC,47959.72,NSE,311.15,184.62,311.15,1550131,0.4,-5.19,-17.05,2,2024-09,3494.55,2024-09,12.82,0.42,1.67,2,2024-03,23.41,4.13,14.76,10.12,"ABCAPITAL,",,,,0,369.3,0,166.25,13.29,,,1,
BKV Industries Ltd.,BKV,Aquaculture,Aquaculture,22.77,BSE,0,14.51,14.51,11992,-1.56,0,0,1,2024-09,,22.77,2024-09,0.8,0.06,2024-09,367.28,14.47,16.11,34.06,1,2024-03,0,29.89,29.89,0,0,0,0,1.99,,"ADFFOODS,",TRUE,
Flora Corporation Ltd.,FLORACORP,Aquaculture,Aquaculture,8.27,BSE,0,9.26,9.26,0,-2.22,-2.22,0,1,2024-09,37.56,45.84,2024-09,156.94,-1.65,2024-09,0,0,0,2.61,1,2024-03,0,8.49,11.54,0,0,0,0,0,,"531286,",TRUE,
Kings Infra Ventures Ltd.,KINGSINFR,Aquaculture,Aquaculture,400.79,BSE,0,165.05,165.05,0,0.92,0.92,0,2,2024-09,50.63,451.42,2024-09,106.77,9.6,2024-09,41.36,41.36,,6.25,2,2024-03,0.65,16.14,17.49,0,0,0,0,0,,"539189,",TRUE,
NCC Blue Water Products Ltd.,NCCBLUE,Aquaculture,Aquaculture,13.14,BSE,0,16.96,16.96,0,,,0,1,2024-09,,13.14,2024-09,0,0.33,2024-09,40.2,40.2,-1.15,1.58,1,2024-03,0,5.43,7.37,0,0,0,0,0,,,FALSE,
Vistar Amar Ltd.,VISTARAMAR,Aquaculture,Aquaculture,71.02,BSE,0,122,122,0,-1.05,-1.05,0,1,2024-09,0.8,71.82,2024-09,59.87,2.29,2024-09,31.01,31.01,0.25,1.52,1,2024-03,0,24.86,33.29,0,0,0,0,0,,"514113,",TRUE,
Zeal Aqua Ltd.,ZEAL,Aquaculture,Aquaculture,169.05,BSE,0,13.44,13.44,69728,0.22,0.53,1.5,1,2024-09,199.48,368.53,2024-09,440.82,11.54,2024-09,14.65,7.33,7.44,2.06,1,2024-03,2,11.09,10.92,0,0,0,0,19.35,,,FALSE,
Spectra Industries Ltd.,SPECTRA,Auto Ancillary,Auto Ancillary,3.04,BSE,0,4.3,4.3,0,,,0,1,2023-12,57.25,60.29,2023-12,0,-2.47,2023-12,0,0,0,-0.05,1,2023-03,-0.64,0,0,0,0,0,0,0,,"ABFRL,",TRUE,
Aditya Birla Fashion and Retail Ltd.,ABFRL,Retailing,Retailing,30267.43,NSE,57.42,285.75,57.42,1836870,1.11,-3.14,-1.86,2,2024-09,4528.23,34539,2024-09,14645.04,-812.87,2024-09,0,0,,7.38,2,2024-03,1.06,-21.79,1.62,0,98.76,0,57.35,-5.31,,"540737,",1,
Emmforce Autotech Ltd.,EMMFORCE,Auto Ancillary,Auto Ancillary,260.04,BSE,0,125.2,125.2,0,-1.3,-1.3,0,1,2024-09,21.76,281.79,2024-03,81.29,8.95,2024-03,60.95,60.95,,3.55,2,2024-03,2.2,21.22,10.86,0,0,0,0,0,,"ABREL,",TRUE,
Aditya Birla Money Ltd.,BIRLAMONEY,Finance - Stock Broking,Finance - Stock Broking,1377.69,NSE,113.99,250,113.99,31720,2.54,-2.49,-2.91,1,2024-09,74.66,2024-09,18.45,0.47,6.69,1,2024-03,13.12,8.45,38.98,12.84,"BIRLAMONEY,",,,,0,208.71,0,113.3,8.69,,"523248,",1,
New Swan Multitech Ltd.,SWANAGRO,Auto Ancillary,Auto Ancillary,125.93,BSE,0,68.2,68.2,0,2.99,2.99,0,1,2024-09,38.23,164.15,2024-03,152.52,9.38,2024-03,13.42,13.42,,1.84,2,2023-03,1.31,39.9,25.28,0,0,0,0,0,,"540146,",TRUE,
Aditya Birla Real Estate Ltd.,ABREL,Paper & Paper Products,Paper & Paper Products,27411.8,NSE,1195.5,2455.95,1195.5,317686,-0.39,-1.76,-21.4,2,2024-09,4733.85,31735.46,2024-09,5234.62,299.82,2024-09,281.18,281.18,-4.56,6.77,2,2024-03,0.63,7.76,8.53,0,2537.9,0,1080.1,-22.39,,"531437,",1,
SM Auto Stamping Ltd.,SMAUTO,Auto Ancillary,Auto Ancillary,61.24,BSE,0,44.74,44.74,0,,,0,1,2024-09,5.2,66.44,2024-03,67.56,3,2024-03,20.39,20.39,,3.48,2,2024-03,0.28,15.4,23,0,0,0,0,0,,"521141,",TRUE,
Akar Auto Industries Ltd.,AAIL,Auto Ancillary,Auto Ancillary,154.59,BSE,0,144.9,144.9,0,1.12,1.12,0,1,2024-09,76.01,226.73,2024-09,379.19,6.26,2024-09,24.7,24.7,-25.2,3.23,1,2024-03,1.87,13.07,17.33,0,0,0,0,0,,"AUSL,",TRUE,
Amforge Industries Ltd.,AMFORG,Auto Ancillary,Auto Ancillary,15.38,BSE,0,10.77,10.77,0,0.75,0.75,0,1,2024-09,0.71,16.09,2024-09,0,-0.24,2024-09,0,0,0,1.2,1,2024-03,0.06,-2.14,2.27,0,0,0,0,0,,"AVL,",TRUE,
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,Finance - Asset Management,Finance - Asset Management,23941.08,NSE,937.2,837.3,937.2,159870,0.91,-3.15,-30.5,2,2024-09,895.77,2024-09,26.73,,7.32,2,2024-03,26.69,0,28.31,35.67,"ABSLAMC,",,,,0,1046.55,0,556.45,35.13,,,1,
Aditya Ultra Steel Ltd.,AUSL,Steel & Iron Products,Steel & Iron Products,122.44,NSE,0,49.3,49.3,0,,,0,1,2024-09,69.7,192.14,,,,2024-03,15.45,15.45,,1.44,1,2024-03,1.44,23.92,20.15,0,0,0,0,0,,,1,
Automobile Corporation of Goa Ltd.,ACGL,Auto Ancillary,Auto Ancillary,1338.58,BSE,0,2219.8,2219.8,8,0.97,-1.62,-1.53,1,2024-09,48.08,1348.18,2024-09,642.46,45.95,2024-09,29.13,8.01,2.86,5.69,1,2024-03,0.28,18.6,18.72,0,0,0,0,11.6,,"ADROITINFO,",TRUE,
Aditya Vision Ltd.,AVL,Retailing,Retailing,6589.48,NSE,450.05,510.35,450.05,485,-0.35,-3.42,-1.24,1,2024-09,83.12,6559.31,2024-09,2053.56,95.31,2024-09,69.14,69.14,1.02,12.15,1,2024-03,0.26,25.12,28.55,0,598.7,0,327.6,0,,"537709,",1,
Ador Welding Ltd.,ADORWELD,Electrodes & Welding Equipment,Electrodes & Welding Equipment,1995.75,NSE,0,1143,1143,0,-0.41,-0.41,0,2,2024-09,38.55,1989.44,2022-12,741.09,49.94,2022-12,39.96,39.96,1.86,,1,2024-03,0.12,18.43,24.43,0,0,0,0,0,,,1,
Adroit Infotech Ltd.,ADROITINFO,IT - Software,IT - Software,115.62,NSE,8.81,20.2,8.81,242249,1.46,-4.13,-0.38,2,2024-09,10.96,125.19,2024-09,28.42,4.33,2024-09,26.7,20.25,0.71,1.66,2,2024-03,0.09,12.53,13.62,0,15.5,0,8.1,0.44,,"504882,",1,
Advanced Enzyme Technologies Ltd.,ADVENZYMES,Pharmaceuticals & Drugs,Pharmaceuticals & Drugs,3962.25,NSE,273.45,356.3,273.45,64579,0.14,-3,-8.45,2,2024-09,25.69,3876.67,2024-09,619.37,140.74,2024-09,28.91,20.13,5.37,2.95,2,2024-03,0.02,10.72,14.78,0,366.25,0,259,13.59,,"RACE,",1,
Bharat Seats Ltd.,BHARATSE,Auto Ancillary,Auto Ancillary,638.93,BSE,0,101,101,126795,-0.73,-5.17,-8.6,1,2024-09,94.52,733.15,2024-09,1117.61,27.31,2024-09,23.4,24.51,7.36,3.52,1,2024-03,0.53,16,17.91,0,0,0,0,6.44,,"506947,",TRUE,
Advani Hotels & Resorts (India) Ltd.,ADVANIHOTR,"Hotel, Resort & Restaurants","Hotel, Resort & Restaurants",653.08,NSE,51.16,70.51,51.16,15400,-0.09,-1.04,-0.54,1,2024-09,0.64,625.11,2024-09,103.62,22.95,2024-09,28.46,20.08,1.67,9.68,1,2024-03,0.01,37.08,49.31,0,68.39,0,50.56,2.55,,,1,
Aegis Logistics Ltd.,AEGISLOG,Logistics,Logistics,28797.79,NSE,625.5,821.75,625.5,2399202,0.17,3.04,18.5,2,2024-09,2765.99,28905.44,2024-09,7062.29,699.59,2024-09,49.32,49.32,2.37,6.99,2,2024-03,0.43,18.1,19.38,0,946.5,0,585.6,0,,"514460,",1,
Aeroflex Industries Ltd.,AEROFLEX,Engineering - Industrial Equipments,Engineering - Industrial Equipments,2747.41,NSE,231.7,211.4,231.7,1404374,-0.52,-6.5,-16.11,2,2024-09,0.74,2688.24,2024-09,335.64,45.14,2024-09,60.87,60.99,,8.69,2,2024-03,0,20.51,26.5,0,262.4,0,148.01,3.8,,"506640,",1,
Enkei Wheels (India) Ltd.,ENKEIWHEL,Auto Ancillary,Auto Ancillary,1212.68,BSE,0,677,677,0,,,0,1,2024-06,191.37,1363.72,2024-09,859.82,7.73,2024-09,156.84,156.84,19.95,5.08,1,2023-12,0.71,5.15,7.01,0,0,0,0,0,,"AEGISLOG,",TRUE,
Eraaya Lifespaces Ltd.,ERAAYA,Auto Ancillary,Auto Ancillary,2083.18,BSE,0,104.55,104.55,0,-5,-5,0,1,2024-09,14.02,2097.2,2024-09,36.76,1.21,2024-09,0,0,0,2.62,1,2024-03,0,5.34,6.89,0,0,0,0,0,,"544213,",TRUE,
Aeron Composite Ltd.,AERON,Plastic Products,Plastic Products,308.83,NSE,0,179.75,179.75,0,-0.94,-0.94,0,1,2024-09,33.5,342.33,2024-03,199.73,10.11,2024-03,30.55,30.55,,3.01,1,2024-03,0.33,33.2,36.45,0,0,0,0,0,,"512115,",1,
Aesthetik Engineers Ltd.,AESTHETIK,Engineering,Engineering,118.82,NSE,0,70,70,0,1.45,1.45,0,1,2024-09,4.6,123.42,,,,2024-03,23.62,23.62,,2.86,2,2024-03,0.57,40.79,37.27,0,0,0,0,0,,"GENUSPOWER,",1,
Aether Industries Ltd.,AETHER,Chemicals,Chemicals,11780,NSE,1061.05,895.9,1061.05,156781,0.8,-0.7,-7.5,2,2024-09,202.21,11474.15,2024-09,651.71,80.73,2024-09,145.92,65.19,,5.53,2,2024-03,0.08,5,6.79,0,1083.6,0,725,16.28,,"509438,",TRUE,
Afcons Infrastructure Ltd,AFCONS,Engineering - Construction,Engineering - Construction,19676.48,NSE,278.05,543.5,278.05,169820,1.66,-3.44,-9.9,2,2024-09,3402.21,22316.53,,,,2024-03,43.75,22.74,,2.15,2,2024-03,0.68,14.23,23.17,0,498.7,0,271.5,12.23,,"513059,",1,
GS Auto International Ltd.,GSAUTO,Auto Ancillary,Auto Ancillary,68.41,BSE,0,46.75,46.75,0,-0.81,-0.81,0,1,2024-09,31.73,99.12,2024-09,149.57,1.22,2024-9,55.93,55.93,2.33,3.01,1,2024-03,1.55,3.21,10.15,0,0,0,0,0,,"AESTHETIK,",TRUE,
Him Teknoforge Ltd.,HIMTEK,Auto Ancillary,Auto Ancillary,199.68,BSE,0,235,235,0,3.71,3.71,0,1,2024-09,156.18,353.34,2024-09,388.14,8.51,2024-09,23.45,23.45,-2.58,0.96,1,2024-03,0.83,4.03,8.57,0,0,0,0,0,,"AETHER,",TRUE,
Affle (India) Ltd.,AFFLE,BPO/ITeS,BPO/ITeS,25021.44,NSE,1302.6,1796.25,1302.6,100076,0.91,-3.17,-42.7,2,2024-09,129.68,23937.66,2024-09,2067.31,342.89,2024-09,72.97,41.82,1.68,9.28,2,2024-03,0.07,15.1,16.29,0,2185.9,0,1246,31.15,,"ARABIAN,",TRUE,
Hindustan Hardy Ltd.,HINDHARD,Auto Ancillary,Auto Ancillary,155.46,BSE,0,1037.45,1037.45,0,,,0,1,2024-09,4.31,155.95,2024-09,71.36,5.16,2024-09,30.14,30.14,0.46,6.03,1,2024-03,0.18,23.28,27.49,0,0,0,0,0,,"AFCONS,",TRUE,
Affordable Robotic & Automation Ltd.,AFFORDABLE,Engineering,Engineering,741.02,NSE,145.5,652.9,145.5,96418,-0.63,-4.02,-6.09,1,2024-09,44.21,785.22,2024-03,150.07,6.07,2024-03,122.04,36.52,,7.02,2,2024-03,0.41,7.47,9.94,0,534.4,0,144.1,3.98,,"539041,",1,
IP Rings Ltd.,IPRINGLTD,Auto Ancillary,Auto Ancillary,251.68,BSE,0,195,195,0,-1.79,-1.79,0,1,2024-09,77.78,326.15,2024-09,324.11,0.03,2024-09,0,0,,2.38,2,2024-03,0.79,-2.98,4.14,0,0,0,0,0,,"AFFORDABLE,",TRUE,
IST Ltd.,ISTLTD,Auto Ancillary,Auto Ancillary,1108.73,BSE,0,950,950,0,-0.06,-0.06,0,2,2024-09,,1108.73,2024-09,116.56,156.28,2024-09,7.07,7.07,1.39,0.77,2,2024-03,0,10.41,14.2,0,0,0,0,0,,"AGUL,",TRUE,
Jagan Lamps Ltd.,JAGANLAM,Auto Ancillary,Auto Ancillary,72.09,BSE,0,99.63,99.63,0,0.9,0.9,0,1,2024-09,10.63,81.95,2024-9,51.76,2.81,2024-9,25.66,25.66,1.03,2.3,1,2024-03,0.18,10.19,12.09,0,0,0,0,0,,"AGARWALFT,",TRUE,
AG Universal Ltd.,AGUL,Trading,Trading,27.97,NSE,0,51,51,0,,,0,1,2024-09,17.39,45.36,2024-03,78.37,1.92,2024-03,14.57,14.57,,1.61,1,2024-03,0.89,15.87,14.5,0,0,0,0,0,,"UNIMECH,",1,
Agarwal Float Glass India Ltd.,AGARWALFT,Trading,Trading,51.43,NSE,0,71,71,0,,,0,1,2024-09,15.76,67.18,2024-03,78.91,0.19,2024-03,265.1,265.1,,3.33,1,2024-03,0.86,1.27,5.5,0,0,0,0,0,,33.58,1,
Jay Ushin Ltd.,JAYUSH,Auto Ancillary,Auto Ancillary,273.41,BSE,0,707.5,707.5,0,,,0,1,2024-09,124.8,397.61,2024-09,770.59,13.3,2024-09,20.56,20.56,4.7,2.4,1,2024-03,1.22,13.9,13.91,0,0,0,0,0,,"AGARWALTUF,",TRUE,
Agarwal Industrial Corporation Ltd.,AGARIND,Petrochemicals,Petrochemicals,1931.05,NSE,412,1275.4,412,32283,-0.99,-4.78,-20.7,2,2024-09,284.47,2157.86,2024-09,2298,123.08,2024-09,15.69,10.56,0.3,3.42,2,2024-03,0.68,23.88,21.19,0,1103,0,410,39.01,,40.34,1,
Agarwal Toughened Glass India Ltd.,AGARWALTUF,Glass,Glass,232.16,NSE,0,130,130,0,-1.03,-1.03,0,1,2024-03,29.25,261.08,,,,2024-03,26.73,26.73,,2.94,1,2024-03,1.79,72.59,34.96,0,0,0,0,0,,"MARICO,",1,
Kinetic Engineering Ltd.,KINETICENG,Auto Ancillary,Auto Ancillary,373.64,BSE,0,170.3,170.3,0,1.01,1.01,0,2,2024-09,31.19,402.39,2024-09,150.03,4.65,2024-09,79.72,79.72,,5.98,2,2024-03,0.63,20.64,11.43,0,0,0,0,0,,"516020,",TRUE,
Kranti Industries Ltd.,KRANTI,Auto Ancillary,Auto Ancillary,114.16,BSE,0,100.16,100.16,0,0.11,0.11,0,2,2024-09,43.09,157.25,2024-09,82.2,-2.09,2024-09,0,0,0,3.29,2,2024-03,1.09,0.24,4.37,0,0,0,0,0,,"AGNI,",TRUE,
AGI Greenpac Ltd.,AGI,Packaging,Packaging,7175.59,NSE,502.9,1083.7,502.9,9426,-2.36,-8.38,-3.83,2,2024-09,601.98,7508.99,2019-03,2712.37,70.02,2019-03,102.44,102.44,1.36,,1,2024-03,0.34,14.69,17.91,0,1009,0,478.2,0,,"531454,",1,
AGI Infra Ltd.,AGIIL,Construction - Real Estate,Construction - Real Estate,2202.49,NSE,304.8,1785.65,304.8,589090,-0.01,1.43,4.3,2,2024-09,141.92,2249.07,2024-09,302.8,56.12,2024-09,39.24,44.37,0.95,8.56,2,2024-03,0.61,26.24,25.14,0,321,0,137,6.87,,50.05,1,
Agni Green Power Ltd.,AGNI,Engineering - Construction,Engineering - Construction,76.97,NSE,0,39.1,39.1,0,-0.76,-0.76,0,1,2024-09,10.03,87,2024-03,35.27,0.38,2024-03,200.12,200.12,,2.5,1,2024-03,0.29,1.25,5.51,0,0,0,0,0,,"GHCLTEXTIL,",1,
Machino Plastics Ltd.,MACPLASQ,Auto Ancillary,Auto Ancillary,153.67,BSE,0,257.4,257.4,0,2.8,2.8,0,1,2024-09,141.46,294.74,2024-09,353.32,5.85,2024-09,26.26,26.26,0.47,3.18,1,2024-03,1.97,8.6,9.11,0,0,0,0,0,,"ATFL,",TRUE,
Agri-Tech (India) Ltd.,AGRITECH,Agriculture,Agriculture,120.2,NSE,102.01,205.03,102.01,1009,0.51,-2.37,-2.48,1,2024-09,,120.2,2024-09,0.09,9.15,2024-09,13.14,13.14,0.19,1.2,1,2024-03,0,10.11,9.69,0,187.19,0,97.2,-1.55,,"530027,",TRUE,
Menon Pistons Ltd.,MENNPIS,Auto Ancillary,Auto Ancillary,376.58,BSE,0,74.26,74.26,0,0.57,0.57,0,2,2024-09,15.72,386.25,2024-09,254.13,25.36,2024-09,14.85,14.85,,2.56,2,2024-03,0.15,20.61,25.31,0,0,0,0,0,,"543941,",TRUE,
Agro Phos India Ltd.,AGROPHOS,Fertilizers,Fertilizers,82.54,NSE,31.5,41.14,31.5,7071,1.06,-3.61,-1.17,2,2024-09,27.81,107.53,2024-09,78.44,-8.25,2024-09,0,6.58,,1.7,2,2024-03,0.6,-10.94,-4.93,0,47.6,0,27.6,4.79,,,1,
Agro Tech Foods Ltd.,ATFL,Edible Oil,Edible Oil,2296.56,NSE,0,952.95,952.95,0,1.32,1.32,0,2,2024-09,5,2293.88,2024-09,757.92,4.25,2024-09,540.37,540.37,-22.15,4.67,2,2024-03,0.07,2.12,3.22,0,0,0,0,0,,"ENDURANCE,",1,
AGS Transact Technologies Ltd.,AGSTRA,Business Support,Business Support,876.3,NSE,2.89,68.68,2.89,166587,0.62,-1.37,-0.04,2,2024-09,811.09,1573.93,2024-09,1414.41,9.19,2024-09,95.31,95.31,,1.52,2,2024-03,1.86,-16.84,1.66,0,12.46,0,2.81,0,,"519174,",TRUE,
Ahimsa Industries Ltd.,AHIMSA,Plastic Products,Plastic Products,39.28,NSE,0,71.75,71.75,0,,,0,1,2024-09,1.44,40.72,2024-03,14.55,-0.93,2024-03,0,0,,3.08,1,2024-03,0.17,-7.01,-4.56,0,0,0,0,0,,,1,
Ahlada Engineers Ltd.,AHLADA,Engineering,Engineering,122.75,NSE,39.98,94.57,39.98,4949,-0.45,-0.94,-0.38,1,2024-09,40.39,163.14,2024-09,217.13,11.6,2024-09,10.58,23.69,2.84,0.88,1,2024-03,0.31,10.37,14.64,0,81,0,37.2,1.69,,"514400,",1,
Porwal Auto Components Ltd.,PORWAL,Auto Ancillary,Auto Ancillary,87.79,BSE,0,59.7,59.7,0,2.68,2.68,0,1,2024-09,4.48,92.27,2024-09,141.55,1.88,2024-09,46.67,46.67,37.64,1.43,1,2024-03,0.09,6.34,10.44,0,0,0,0,0,,"AIAENG,",TRUE,
Ahluwalia Contracts (India) Ltd.,AHLUCONT,Construction - Real Estate,Construction - Real Estate,6754.69,NSE,733.05,1000.1,733.05,230277,-0.6,-1.58,-11.8,2,2024-09,10.55,6002.35,2024-09,4120.96,339.52,2024-09,19.91,18.38,1.38,4.06,2,2024-03,0.03,26.51,38.43,0,1125,0,718.9,39.87,,,1,
AIA Engineering Ltd.,AIAENG,Castings/Forgings,Castings/Forgings,31744.79,NSE,3578.9,3409.35,3578.9,28204,0.38,-3.78,-140.7,2,2024-09,120.48,31412.97,2024-09,4383.55,1052.84,2024-09,30.05,28.74,1.73,4.96,2,2024-03,0.07,18.41,22.88,0,4206.1,0,3001.1,124.53,,"AURDIS,",TRUE,
Aimtron Electronics Ltd.,AIMTRON,Electronics - Components,Electronics - Components,1175.43,NSE,0,587.25,587.25,0,1.99,1.99,0,1,2024-09,1.74,1177.17,2024-03,92.98,13.6,2024-03,86.43,86.43,,8.07,1,2024-03,0.28,31.26,34.37,0,0,0,0,0,,"NYKAA,",1,
AION-Tech Solutions Ltd.,GOLDTECH,IT - Software,IT - Software,269.74,NSE,38.82,78,38.82,20691,0.89,-3.48,-1.4,2,2024-09,6.3,238.33,2024-09,87.49,7.95,2024-09,33.93,25.43,,3.51,2,2024-03,0.14,-3.2,-0.82,0,80.44,0,36.26,1.53,,"530119,",1,
Airan Ltd.,AIRAN,IT - Software,IT - Software,415.07,NSE,15.25,34.54,15.25,51686,4.35,-1.55,-0.24,2,2024-09,0.79,395.74,2024-09,107.38,28.2,2024-09,14.96,23.69,0.6,2.84,2,2024-03,0.01,10.75,14.03,0,32.65,0,12.66,0.64,,"543207,",1,
Airo Lam Ltd.,AIROLAM,Laminates/Decoratives,Laminates/Decoratives,201.42,NSE,85.5,131.8,85.5,2446,-1.83,-2.52,-2.21,2,2024-09,88.52,287.51,2024-09,211.85,2.39,2024-09,84.59,15.47,,2.91,2,2024-03,1.12,11.66,12.17,0,137.04,0,83,5.53,,,1,
Ajanta Pharma Ltd.,AJANTPHARM,Pharmaceuticals & Drugs,Pharmaceuticals & Drugs,37136.99,NSE,2942.6,2912.05,2942.6,73942,-2.23,-3.73,-114,2,2024-09,2.42,37074.48,2024-09,4490.79,875,2024-09,42.44,36.23,2.64,10.1,2,2024-03,0,23.49,32.22,0,3228,0,2327.3,81.21,,"RILINFRA,",1,
Ajmera Realty & Infra India Ltd.,AJMERA,Construction - Real Estate,Construction - Real Estate,4436.76,NSE,110.7,1128.85,110.7,221282,0.08,-4.15,-4.79,2,2024-09,818.66,5184.72,2024-09,832.26,128.46,2024-09,35.2,21.99,5.46,3.88,2,2024-03,0.93,12.68,12.6,0,221.4,0,110.69,5.03,,,1,
Ajooni Biotech Ltd.,AJOONI,Animal Feed,Animal Feed,142.27,NSE,4.41,8.13,4.41,403369,-1.57,5,0.21,1,2024-09,2.2,144.47,2024-09,91.02,2.44,2024-09,58.38,14,1.49,1.65,1,2024-03,0.05,5.12,7.75,0,6.6,0,3.55,0.31,,"523411,",TRUE,
Rasandik Engineering Industries India Ltd.,RASANDIK,Auto Ancillary,Auto Ancillary,71.34,BSE,0,119,119,0,-0.34,-0.34,0,1,2024-09,26.97,98.02,2024-09,71.01,5.02,2024-09,14.2,14.2,0.82,0.72,1,2024-03,0.4,7.36,10.36,0,0,0,0,0,,"AJMERA,",TRUE,
Akanksha Power & Infrastructure Ltd.,AKANKSHA,Electric Equipment,Electric Equipment,276.2,NSE,0,147,147,0,-1.44,-1.44,0,1,2024-09,20.95,297.15,2024-03,53.26,2.66,2024-03,103.8,103.8,,6.13,2,2024-03,0.32,9.54,13.16,0,0,0,0,0,,"521137,",1,
Akash Infra-Projects Ltd.,AKASH,Engineering - Construction,Engineering - Construction,57.97,NSE,24,33.83,24,3541,-1.6,-0.08,-0.02,2,2024-09,84.12,135.42,2024-09,44.4,-0.59,2024-09,0,18.39,0,0.7,2,2024-03,1.05,0.22,2.99,0,36,0,23,1.31,,"GLOBALPET,",1,
Saint-Gobain Sekurit India Ltd.,SAINTGOBAIN,Auto Ancillary,Auto Ancillary,1211.25,BSE,0,132.7,132.7,0,-0.19,-0.19,0,1,2024-09,,1204,2024-09,199.93,31.41,2024-09,38.56,38.56,2.72,6.17,1,2024-03,0,16.46,22.39,0,0,0,0,0,,"539300,",TRUE,
Sal Automotive Ltd.,SALAUTO,Auto Ancillary,Auto Ancillary,128.63,BSE,0,536,536,0,-0.08,-0.08,0,1,2024-09,24.71,153.34,2024-09,336.94,4.88,2024-09,26.36,26.36,3.29,3.15,1,2024-03,0.63,13.82,14.28,0,0,0,0,0,,"AKANKSHA,",TRUE,
Samkrg Pistons & Rings Ltd.,SAMKRG,Auto Ancillary,Auto Ancillary,179.76,BSE,0,183,183,0,-0.03,-0.03,0,1,2024-09,24.8,204.57,2024-09,245.37,14.02,2024-09,12.82,12.82,-1.32,0.94,1,2024-03,0.16,6.88,9.66,0,0,0,0,0,,"530621,",TRUE,
