Stock Name,Symbol,Industry_O,Industry,Market Cap(Rs. Cr.),Exchange,Last Price,LTPP,LTP,Volume,Chng%,Chg%,Change,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio  (TTM),Price Earning Ratio(TTM),PEG Ratio,Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),52w_high_csv,52w_high,52w_low_csv,52w_low,EPS,,Symbol with Comma for External Upload,EPS_csv,EPS
Abha Power And Steel Ltd.,ABHAPOWER,Steel & Iron Products,Steel & Iron Products,96.47,NSE,0,50.5,50.5,0,-2.7,-2.7,0,1,2024-03,23.73,119.89,,,,2024-03,25.51,25.51,,1.75,1,2024-03,1.35,24.17,18.24,0,0,0,0,0,,"SREEL,",1,
Abhishek Integrations Ltd.,AILIMITED,Business Support,Business Support,49.59,NSE,0,82.35,82.35,0,,,0,1,2024-09,7.2,56.79,2024-03,25.45,0.77,2024-03,64.47,64.47,,5.37,1,2024-03,0.61,8.69,13.07,0,0,0,0,0,,"ASAHIINDIA,",TRUE,
ABM International Ltd.,ABMINTLLTD,Trading,Trading,64.34,NSE,45.2,64.97,45.2,1,-5,-0.22,-0.1,2,2024-09,21.63,85.97,2024-09,82.51,0.07,2024-09,835.6,835.6,-21.65,3.72,2,2024-03,0.68,-20.75,-18.73,0,78.21,0,34,-5.85,,"532320,",1,
ABS Marine Services Ltd.,ABSMARINE,Shipping,Shipping,499.47,NSE,0,200.05,200.05,0,-1.67,-1.67,0,1,2024-09,20.25,519.72,,,,2024-03,25.57,25.57,,2.27,2,2024-03,0.39,24.11,20.42,0,0,0,0,0,,"SIGNORIA,",1,
SpiceJet Ltd.,SPICEJET,Airlines,Airlines,7109.51,BSE,0,55.74,55.74,0,0.49,0.49,0,1,2024-03,1152.11,8047.04,2024-06,6743.75,-464.04,2024-06,0,0,0,18.89,2,2024-03,-0.21,0,0,0,0,0,0,0,,"ACC,",TRUE,
ACC Ltd.,ACC,Cement & Construction Materials,Cement & Construction Materials,38851.31,NSE,1354.1,2069,1354.1,0,-0.06,-0.06,0,2,2024-09,,37667.99,2024-09,20091.49,2034.73,2024-09,19.01,19.01,2.68,2.32,2,2024-03,0,15.34,19.13,0,2119.9,0,1354,0,,"543737,",TRUE,
Accelya Solutions India Ltd.,ACCELYA,IT - Software,IT - Software,2298.79,NSE,1186.2,1560,1186.2,4360,1.48,-0.77,-9.2,2,2024-06,0,2192.76,2024-09,510.97,94.78,2024-09,24.25,16.43,12.63,7.29,2,2024-06,0,33.95,49.92,0,1527,0,1140,72.19,,"526616,",1,
TAAL Enterprises Ltd.,TAALENT,Airlines,Airlines,911.06,BSE,0,2930,2930,0,0.22,0.22,0,2,2024-09,,844.17,2024-09,187.67,42.98,2024-09,21.2,21.2,1.37,5.09,2,2024-03,0,25.94,36.5,0,0,0,0,0,,"ACCENTMIC,",TRUE,
Taneja Aerospace & Aviation Ltd.,TANAA,Airlines,Airlines,1150.2,BSE,0,452,452,0,0.21,0.21,0,2,2024-09,,1139.94,2024-09,34.9,12.58,2024-09,91.41,91.41,5.5,8.34,2,2024-03,0,9.28,13.32,0,0,0,0,0,,"ACCORD,",TRUE,
Accent Microcell Ltd.,ACCENTMIC,Pharmaceuticals & Drugs,Pharmaceuticals & Drugs,609.83,NSE,0,290,290,0,0.07,0.07,0,1,2024-09,2.06,611.88,2024-03,245.5,30.17,2024-03,20.21,20.21,,3.72,1,2024-03,0.08,28.17,30.16,0,0,0,0,0,,"PYRAMID,",1,
