symbol,buy_date,buy_price,buy_qty,sell_date,sell_price,sell_qty,pnl,holding_period_minutes,status
EO CE BSE 26Jun2025 3100,2025-06-18,5.0,375.0,2025-06-18,4.8,375.0,-75.00000000000007,0.0,CLOSED
EO CE BSE 26Jun2025 3100,2025-06-18,5.1,375.0,2025-06-18,4.8,375.0,-112.49999999999993,0.0,CLOSED
EO CE BSE 26Jun2025 3200,2025-06-17,6.35,375.0,2025-06-12,10.8,375.0,1668.7500000000005,7200.0,CLOSED
EO CE BSE 26Jun2025 3200,2025-06-18,3.45,375.0,2025-06-12,10.8,375.0,2756.25,8640.0,CLOSED
EO CE BSE 26Jun2025 3200,2025-06-19,2.05,375.0,2025-06-12,10.8,375.0,3281.25,10080.0,CLOSED
EO CE BSE 26Jun2025 3300,2025-06-10,30.15,375.0,2025-06-09,36.2,375.0,2268.750000000002,1440.0,CLOSED
EO CE BSE 26Jun2025 3300,2025-06-10,30.15,375.0,2025-06-09,36.2,375.0,2268.750000000002,1440.0,CLOSED
EO CE BSE 26Jun2025 3300,2025-06-17,4.3,375.0,2025-06-09,36.2,375.0,11962.5,11520.0,CLOSED
EO CE BSE 26Jun2025 3300,2025-06-19,1.8,375.0,2025-06-09,36.25,375.0,12918.750000000002,14400.0,CLOSED
EO CE BSE 26Jun2025 3400,2025-06-13,4.75,375.0,2025-06-11,9.15,375.0,1650.0000000000002,2880.0,CLOSED
EO CE BSE 26Jun2025 3400,2025-06-13,4.75,375.0,2025-06-11,9.15,375.0,1650.0000000000002,2880.0,CLOSED
