trade_date,symbol,transaction_type,quantity,price,trade_value,charges,open,high,low,close,volume,t_score,f_score,total_score,is_52week_high,is_52week_low,is_alltime_high,is_alltime_low,trade_hour,trade_day_of_week,trade_month,pnl,holding_period_minutes
08-08-25,EO CE AUBANK 28Aug2025 840,SALE,1000,2.8,2800,0,800,800,736,739,12715309,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,4,8,0,0
18-08-25,EO CE AUBANK 28Aug2025 840,BUY,1000,0.85,850,0,755,773.35,753,761.55,1873223,87.5,79,83.25,FALSE,FALSE,FALSE,FALSE,0,0,8,1950,14400
18-08-25,EO CE AUBANK 28Aug2025 840,BUY,2000,0.85,1700,0,755,773.35,753,761.55,1873223,87.5,79,83.25,FALSE,FALSE,FALSE,FALSE,0,0,8,3000,14400
18-08-25,EO CE AUBANK 28Aug2025 840,BUY,1000,0.8,800,0,755,773.35,753,761.55,1873223,87.5,79,83.25,FALSE,FALSE,FALSE,FALSE,0,0,8,2100,14400
18-08-25,EO CE AUBANK 28Aug2025 840,BUY,1000,0.8,800,0,755,773.35,753,761.55,1873223,87.5,79,83.25,FALSE,FALSE,FALSE,FALSE,0,0,8,2000,14400
29-07-25,EO CE AUBANK 28Aug2025 850,SALE,1000,1.8,1800,0,727.9,741.8,727,739.95,2061754,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,1,7,0,0
29-07-25,EO CE AUBANK 28Aug2025 850,SALE,1000,1.8,1800,0,727.9,741.8,727,739.95,2061754,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,1,7,0,0
08-08-25,EO CE AUBANK 28Aug2025 850,SALE,2000,2.25,4500,0,800,800,736,739,12715309,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,4,8,0,0
08-08-25,EO CE AUBANK 28Aug2025 850,SALE,2000,2.25,4500,0,800,800,736,739,12715309,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,4,8,0,0
25-08-25,EO CE AUBANK 28Aug2025 850,BUY,3000,0.1,300,0,738,753.25,738,749.6,1711315,50,79,64.5,FALSE,FALSE,FALSE,FALSE,0,0,8,5550,34080
26-08-25,EO CE AUBANK 28Aug2025 850,BUY,3000,0.05,150,0,750,750.9,740.25,745.25,2429502,50,79,64.5,FALSE,FALSE,FALSE,FALSE,0,1,8,6600,25920
22-07-25,EO CE AUBANK 31Jul2025 800,SALE,2000,1,2000,0,752.95,753.8,724.25,725.8,4668078,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,1,7,0,0
24-07-25,EO CE AUBANK 31Jul2025 800,BUY,1000,0.8,800,0,736.75,746.55,732.3,745.45,2296317,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,3,7,200,2880
24-07-25,EO CE AUBANK 31Jul2025 800,BUY,1000,0.8,800,0,736.75,746.55,732.3,745.45,2296317,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,3,7,200,2880
21-07-25,EO CE AUBANK 31Jul2025 810,SALE,1000,1.15,1150,0,770,770,735.2,752.9,11588986,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,0,7,0,0
21-07-25,EO CE AUBANK 31Jul2025 810,SALE,1000,1.15,1150,0,770,770,735.2,752.9,11588986,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,0,7,0,0
21-07-25,EO CE AUBANK 31Jul2025 810,SALE,2000,1.15,2300,0,770,770,735.2,752.9,11588986,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,0,7,0,0
28-07-25,EO CE AUBANK 31Jul2025 810,BUY,2000,0.2,400,0,728.5,737.9,725,727.35,1906629,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,0,7,1900,10080
29-07-25,EO CE AUBANK 31Jul2025 810,BUY,2000,0.1,200,0,727.9,741.8,727,739.95,2061754,37.5,79,58.25,FALSE,FALSE,FALSE,FALSE,0,1,7,2100,11520
